"source","target","weight","type"
"Aarno Laukkanen","Jussi Aine",1,"undirected"
"Aarno Laukkanen","Jussi Pesonen",1,"undirected"
"Aarno Laukkanen","Jyri Nenonen",1,"undirected"
"Aarno Laukkanen","Kai Korhonen",1,"undirected"
"Aarno Laukkanen","Kari Jordan",1,"undirected"
"Aarno Laukkanen","Kari Nikkanen",1,"undirected"
"Aarno Laukkanen","Risto Mätäsaho",1,"undirected"
"Aaro Cantell","Antti Ala-Talkkari",4,"undirected"
"Aaro Cantell","Antti Herlin",4,"undirected"
"Aaro Cantell","Antti Ranta",1,"undirected"
"Aaro Cantell","Antti Zitting",3,"undirected"
"Aaro Cantell","Asko Kallonen",2,"undirected"
"Aaro Cantell","Eero Mäkinen",1,"undirected"
"Aaro Cantell","Gretel Ramsay",2,"undirected"
"Aaro Cantell","Hanna Halme",3,"undirected"
"Aaro Cantell","Hannu Vaajoensuu",5,"undirected"
"Aaro Cantell","Harri Sjöholm",6,"undirected"
"Aaro Cantell","Heikki Allonen",3,"undirected"
"Aaro Cantell","Heikki Hornborg",1,"undirected"
"Aaro Cantell","Heikki Nikku",6,"undirected"
"Aaro Cantell","Jaakko Isosaari",1,"undirected"
"Aaro Cantell","Jari Paasikivi",4,"undirected"
"Aaro Cantell","Jorma Nokkala",1,"undirected"
"Aaro Cantell","Jorma Paturi",1,"undirected"
"Aaro Cantell","Juha Äkräs",1,"undirected"
"Aaro Cantell","Jukka Nummi",4,"undirected"
"Aaro Cantell","Kai Seikku",6,"undirected"
"Aaro Cantell","Kimmo Fischer",2,"undirected"
"Aaro Cantell","Liisa Leino",4,"undirected"
"Aaro Cantell","Matti Kähkönen",5,"undirected"
"Aaro Cantell","Mika Seitovirta",3,"undirected"
"Aaro Cantell","Pauli Nurminen",3,"undirected"
"Aaro Cantell","Pekka Lundmark",4,"undirected"
"Aaro Cantell","Pertti Korhonen",4,"undirected"
"Aaro Cantell","Pertti Lemettinen",4,"undirected"
"Aaro Cantell","Päivi Leiwo",6,"undirected"
"Aaro Cantell","Raimo Lind",1,"undirected"
"Aaro Cantell","Risto Siilasmaa",7,"undirected"
"Aaro Cantell","Sakari Tamminen",2,"undirected"
"Aaro Cantell","Tauno Heinola",4,"undirected"
"Aaro Cantell","Timo Luukkainen",4,"undirected"
"Aaro Cantell","Timo Salli",2,"undirected"
"Aaro Cantell","Vesa Laisi",2,"undirected"
"Aaro Cantell","Yrjänä Ahto",1,"undirected"
"Aaro Cantell","Ari Rahkonen",1,"undirected"
"Aaro Cantell","Harri Suutari",3,"undirected"
"Aaro Cantell","Jaakko Eskola",5,"undirected"
"Aaro Cantell","Juho Nummela",5,"undirected"
"Aaro Cantell","Kimmo Alkio",5,"undirected"
"Aaro Cantell","Mauri Kontu",5,"undirected"
"Aaro Cantell","Pasi Laine",5,"undirected"
"Aaro Cantell","Risto Käkelä",5,"undirected"
"Aaro Cantell","Tuomas Pere",5,"undirected"
"Aaro Cantell","Tuomo Haukkovaara",5,"undirected"
"Aaro Cantell","Erkki Lehtonen",4,"undirected"
"Aaro Cantell","Kari Tuominen",4,"undirected"
"Aaro Cantell","Markku Moilanen",4,"undirected"
"Aaro Cantell","Olavi Huhtala",4,"undirected"
"Aaro Cantell","Pekka Horo",4,"undirected"
"Aaro Cantell","Satu Kivelä",4,"undirected"
"Aaro Cantell","Tarja Takki",4,"undirected"
"Aaro Cantell","Tarja Takki-Halttunen",4,"undirected"
"Aaro Cantell","Tomas Hedenborg",4,"undirected"
"Aaro Cantell","Ingmar Haga",2,"undirected"
"Aaro Cantell","JT Bergqvist",3,"undirected"
"Aaro Cantell","Jukka Tapani Bergqkvist",3,"undirected"
"Aaro Cantell","Markku Varis",3,"undirected"
"Aaro Cantell","Tapani Kiiski",3,"undirected"
"Aaro Cantell","Ville Laine",3,"undirected"
