source,target,weight,type
Sticky Kangaroo,Protective Lemming,1,undirected
Sticky Kangaroo,Unknown Antlion,1,undirected
Sticky Kangaroo,Talented Caterpillar,1,undirected
Sticky Kangaroo,Roasted Vulture,1,undirected
Sticky Kangaroo,Highfalutin Gull,1,undirected
Sticky Kangaroo,Tiresome Salamander,1,undirected
Sticky Kangaroo,Quack Damselfly,1,undirected
Shy Clownfish,Lumpy Duck,4,undirected
Shy Clownfish,Robust Mastodon,4,undirected
Shy Clownfish,Hospitable Lamprey,1,undirected
Shy Clownfish,Drunk Catshark,3,undirected
Shy Clownfish,Grandiose Hedgehog,2,undirected
Shy Clownfish,Woebegone Opossum,1,undirected
Shy Clownfish,Nasty Mockingbird,2,undirected
Shy Clownfish,Hapless Loris,3,undirected
Shy Clownfish,Naughty Human,5,undirected
Shy Clownfish,Shallow Sole,6,undirected
Shy Clownfish,Grotesque Shrew,3,undirected
Shy Clownfish,Dysfunctional Quelea,1,undirected
Shy Clownfish,Tawdry Goldfish,6,undirected
Shy Clownfish,Upset Bovid,1,undirected
Shy Clownfish,Impolite Perch,4,undirected
Shy Clownfish,Vulgar Crab,1,undirected
Shy Clownfish,Ubiquitous Barnacle,1,undirected
Shy Clownfish,Ugly Mockingbird,1,undirected
Shy Clownfish,Thundering Lapwing,4,undirected
Shy Clownfish,Literate Halibut,6,undirected
Shy Clownfish,Impolite Sturgeon,2,undirected
Shy Clownfish,Expensive Lark,4,undirected
Shy Clownfish,Uncovered Lemming,5,undirected
Shy Clownfish,True Lobster,3,undirected
Shy Clownfish,Staking Booby,3,undirected
Shy Clownfish,Obeisant Termite,4,undirected
Shy Clownfish,Violent Wolverine,4,undirected
Shy Clownfish,Wacky Quetzal,4,undirected
Shy Clownfish,Stingy Planarian,6,undirected
Shy Clownfish,Learned Olingo,1,undirected
Shy Clownfish,Boundless Albatross,7,undirected
Shy Clownfish,Steadfast Chinchilla,2,undirected
Shy Clownfish,Fat Ladybug,4,undirected
Shy Clownfish,Humorous Dinosaur,4,undirected
Shy Clownfish,Instinctive Ermine,2,undirected
Shy Clownfish,Daffy Wolverine,2,undirected
Shy Clownfish,Versed Pigeon,1,undirected
Shy Clownfish,Hateful Cockroach,1,undirected
Shy Clownfish,Thin Earwig,3,undirected
Shy Clownfish,Unsuitable Tiger,5,undirected
Shy Clownfish,Best Dragon,5,undirected
Shy Clownfish,Wiry Amphibian,5,undirected
Shy Clownfish,Statuesque Camel,5,undirected
Shy Clownfish,Attractive Tiglon,5,undirected
Shy Clownfish,Orange Quelea,5,undirected
Shy Clownfish,Scared Parrot,5,undirected
Shy Clownfish,Huge Wildcat,5,undirected
Shy Clownfish,Tedious Badger,4,undirected
Shy Clownfish,Fabulous Turtle,4,undirected
Shy Clownfish,Dysfunctional Rhinoceros,4,undirected
Shy Clownfish,Sweltering Numbat,4,undirected
Shy Clownfish,Near Barracuda,4,undirected
Shy Clownfish,Descriptive Bobcat,4,undirected
Shy Clownfish,Breezy Eagle,4,undirected
Shy Clownfish,Demonic Seahorse,4,undirected
Shy Clownfish,Soft Peafowl,4,undirected
Shy Clownfish,Fretful Mackerel,2,undirected
Shy Clownfish,Blue-Eyed Horse,3,undirected
Shy Clownfish,Unknown Wildebeest,3,undirected
Shy Clownfish,Simple Swift,3,undirected
Shy Clownfish,Used Silkworm,3,undirected
Shy Clownfish,Rainy Wolverine,3,undirected
Shy Clownfish,Economic Quetzal,1,undirected
Shy Clownfish,Colorful Human,2,undirected
Shy Clownfish,Royal Grasshopper,2,undirected
Shy Clownfish,Rapid Stoat,1,undirected
Shy Clownfish,Well-Off Sloth,2,undirected
Shy Clownfish,Well-Off Magpie,2,undirected
