id,label,interest_group_code,memberships,interest_group,group
Sticky Kangaroo,Sticky Kangaroo,6,1,Metsäteollisuus,old
Shy Clownfish,Shy Clownfish,12,1,Teknologiateollisuus,old
Furtive Mouse,Furtive Mouse,10,1,Suomen Yrittäjät,old
Brawny Wolf,Brawny Wolf,4,1,Kaupan liitto,old
Prickly Cattle,Prickly Cattle,8,1,Perheyritysten liitto,old
Dependent Marmoset,Dependent Marmoset,8,1,Perheyritysten liitto,old
Creepy Hare,Creepy Hare,10,1,Suomen Yrittäjät,old
Special Harrier,Special Harrier,12,1,Teknologiateollisuus,old
Expensive Kiwi,Expensive Kiwi,10,1,Suomen Yrittäjät,old
Divergent Jaguar,Divergent Jaguar,10,1,Suomen Yrittäjät,old
Permissible Ant,Permissible Ant,11,1,Suomen startup-yhteisö,new
Measly Vulture,Measly Vulture,13,2,Linkkaaja,link
Nice Earwig,Nice Earwig,8,1,Perheyritysten liitto,old
Grouchy Leopon,Grouchy Leopon,13,2,Linkkaaja,link
Lackadaisical Gibbon,Lackadaisical Gibbon,2,1,EVA/Etla,old
Truculent Bull,Truculent Bull,10,1,Suomen Yrittäjät,old
Awesome Wren,Awesome Wren,12,1,Teknologiateollisuus,old
Next Chimpanzee,Next Chimpanzee,10,1,Suomen Yrittäjät,old
Cool Reindeer,Cool Reindeer,10,1,Suomen Yrittäjät,old
Noxious Oribi,Noxious Oribi,10,1,Suomen Yrittäjät,old
Ultra Raccoon,Ultra Raccoon,5,1,Keskuskauppakamari,old
Unkempt Goldfish,Unkempt Goldfish,5,1,Keskuskauppakamari,old
Callous Lungfish,Callous Lungfish,10,1,Suomen Yrittäjät,old
Lumpy Duck,Lumpy Duck,12,1,Teknologiateollisuus,old
Robust Mastodon,Robust Mastodon,13,3,Linkkaaja,link
Damaged Constrictor,Damaged Constrictor,1,1,EK,old
Hot Guineafowl,Hot Guineafowl,13,2,Linkkaaja,link
Big Limpet,Big Limpet,7,1,PALTA,old
Light Penguin,Light Penguin,4,1,Kaupan liitto,old
Important Camel,Important Camel,1,1,EK,old
Worried Grebe,Worried Grebe,9,1,Rakennusteollisuus,old
Hospitable Lamprey,Hospitable Lamprey,12,1,Teknologiateollisuus,old
Fierce Pheasant,Fierce Pheasant,7,1,PALTA,old
Capable Raccoon,Capable Raccoon,12,1,Teknologiateollisuus,old
Acid Jackal,Acid Jackal,4,1,Kaupan liitto,old
Rhetorical Urial,Rhetorical Urial,4,1,Kaupan liitto,old
Wiggly Shrew,Wiggly Shrew,13,3,Linkkaaja,link
Tasteful Falcon,Tasteful Falcon,9,1,Rakennusteollisuus,old
Demonic Cricket,Demonic Cricket,7,1,PALTA,old
Typical Ermine,Typical Ermine,1,1,EK,old
